name,image,team,battingStyle,bowlingStyle,playingRole,description
Prithvi Shaw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322622.png",Delhi Capitals,Right hand Bat,Right arm Offbreak,Opening Batter,"Prithvi Shaw IPL factfile- Prithvi Shaw, the next big thing at the time, was bought for INR 1.2 crore by Delhi Daredevils (now Capitals) at the IPL 2018 auction around the same time that he was leading India to the Under-19 World Cup title.- Shaw scored a 44-ball 62 in just his second IPL game in a season where he struck at 153.12.- The 2021 season was Shaw's best in the IPL, as he smashed 479 runs in 15 innings with four fifties and finished the season as the seventh-highest run-getter.- As a result, Shaw was one of four players retained by Capitals (for INR 7.5 crore) ahead of the IPL 2022 mega auction.- Shaw is just one of two batters in IPL history to hit six fours in an over. He achieved the feat in a game against Kolkata Knight Riders (KKR) off Shivam Mavi in 2021.- DC - the only IPL team Shaw has been a part of - retained him despite a torrid IPL 2023, where injuries and poor form meant he played just eight games.Prithvi Shaw player profilePrithvi Shaw shot to prominence as a 14-year old when he scored 546 off 330 balls, an innings that contained 85 fours and five sixes, for his school Rizvi Springfield in the Harris Shield, an age-group cricket tournament in Mumbai in 2013. Shaw's innings was then the highest score in school cricket. In November 2016, Shaw was part of the India Under-19 squad that won the youth Asia Cup in Sri Lanka. Two months later, he made his Ranji Trophy debut for Mumbai in the semi-final against Tamil Nadu and scored a second-innings century that led his team to victory.In September 2017, at 17, Shaw became the youngest player to score a century on Duleep Trophy debut, a record previously held by Sachin Tendulkar. He was then named captain of the Under-19 World Cup squad, a tournament India went on to win. During the tournament, he was sold to Delhi Daredevils for INR 1.2 crore (USD 187,500 approx) in the 2018 IPL auction.Given an opportunity after their IPL campaign flagged midway, Shaw impressed head coach Ricky Ponting with his fearless batting against the new ball; ending with 245 runs in nine innings at a strike rate of 153.12. However, it was his performances for India A, both in England and at home against West Indies A and South Africa A, that gave wings to his India aspirations. He pipped Mayank Agarwal in the race to be India's back-up opener when he earned a call-up for the fourth and fifth Tests in England in 2018, and finally became India's 293rd Test cricketer in Rajkot against West Indies in November 2018 after India's selectors ran out of patience with Shikhar Dhawan. Shaw marked the occasion by becoming the youngest Indian Test centurion on debut, and just the second-youngest Test centurion for India after Sachin Tendulkar."
Lizaad Williams,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329749.png",Delhi Capitals,Left hand Bat,Right arm Medium fast,Bowler,
Matheesha Pathirana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355400/355402.png",Chennai Super Kings,Right hand Bat,Right arm Fast,Bowler,
Azmatullah Omarzai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383229.png",Gujarat Titans,Right hand Bat,Right arm Medium fast,Allrounder,
Sai Kishore,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362558.4.jpg",Gujarat Titans,Left hand Bat,Slow Left arm Orthodox,Bowler,
Amit Mishra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323053.png",Lucknow Super Giants,Right hand Bat,Legbreak,Bowler,"When he burst onto the scene in the early 2000s, Amit Mishra impressed with his classical, attacking legspin, relying mostly on flight and a big legbreak, while surprising batsmen with the odd googly. However, with two giant spinners - Anil Kumble and Harbhajan Singh - at the peak of their powers, there wasn't a place available for him in India's squad.Mishra made his international debut in 2003 during an ODI triangular in Bangladesh, but he had to wait until 2008 to get his first go in Tests. That opportunity came after an injury forced Kumble out of the Mohali Test against Australia. Mishra had a dream start to his Test career, becoming the sixth Indian to take a five-wicket haul on debut, foxing the Australians with his variations and finishing the series with 14 wickets from three Tests. With his debut series coinciding with Kumble's last, it was the opening he needed to establish himself as India's first-choice legspinner. But, his inability to extract turn on benign pitches and the lack of accuracy were his failings as other spinners overtook him in the pecking order. Mishra's struggles in international cricket aside, he has remained a vital cog for the Haryana Ranji side over the years, collecting a bagful of wickets. But, it's his performances in the IPL, where he has been one of the best spinners, and the only bowler to pick up three hat-tricks, that keep him in the limelight. The hat-tricks came for three different teams - Delhi Daredevils (2008), Deccan Chargers (2011) and Sunrisers Hyderabad (2013). In 2015, Mishra returned to the team he first played for, with Daredevils paying INR 3.5 crore to secure his services.A strong display in the 2013 IPL, during which he kept the batsmen guessing with his variations in flight and pace, earned him a call-up for India's ODI squad for the Champions Trophy in England and the tour to Zimbabwe, almost two years after his last international appearance. He didn't disappoint, picking up 18 wickets at 11.61 in five ODIs against Zimbabwe, and equaling Javagal Srinath's record for the most wickets in a bilateral series. Mishra's good form continued into the World T20 the following year in Bangladesh, where he picked up 10 wickets at 14.70, while only conceding 6.68 runs per over, as India adopted a three-spinner strategy and finished runners-up to Sri Lanka.With younger options thin on the ground, India recalled Mishra to the Test side for their 2015 tour of Sri Lanka. Playing Tests after a four-year gap, he complemented R Ashwin perfectly, picking up 15 wickets in three Tests at 15. The re-emergence of Ravindra Jadeja during the 2015-16 home series against South Africa restricted Mishra's involvement to only two of the four Tests, but he performed creditably on spin-friendly pitches, his seven wickets at 17.28 including the dismissals of AB de Villiers (twice), Hashim Amla, Faf du Plessis and JP  Duminy. Devashish Fuloria and ESPNcricinfo staff"
Luke Wood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324300/324367.png",Mumbai Indians,Left hand Bat,Left arm Fast medium,Bowler,"Luke Wood, a left-arm fast bowler with the priceless ability to swing the ball back into right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. His first season at the club was disrupted by the Covid-19 pandemic, though he bowled impressively throughout the T20 Blast to take Lancashire to the semi-finals. In 2021, he swung the red ball impressively and cracked a Championship hundred from No. 8 against Kent. Wood made great strides in 2015, alongside two other Nottinghamshire quicks, Brett Hutton and Jake Ball, playing 11 Championship matches, taking 30 wickets, and earning a place on an ECB fast-bowling camp in South Africa. He also lodged a maiden Championship hundred, against Sussex, in only his eighth innings, off 96 balls, an innings replete with wild flails that gave way to resounding connections, and rescued Notts from 98 for 7.  Wood's director of cricket, Mick Newell, rated the century the ""most remarkable I have ever seen in first-class cricket"". Wood won a T20 Blast medal two years in succession for two different counties, first for Nottinghamshire in a treble-winning year in 2017, and then when on loan with Worcestershire the following summer."
Dushmantha Chameera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319862.png",Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18.Chameera's earned a place in Sri Lanka's Test squad to New Zealand at the end of 2014, but did not play a Test, despite a strong showing in the tour match. He was a late entry into the ODI squad for the same tour, and made his international debut in Wellington, and claimed the wicket of Ross Taylor with a 146kph delivery in his first over.Andrew Fidel Fernando"
Anukul Roy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341041.png",Kolkata Knight Riders,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mayank Markande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355400/355403.png",Sunrisers Hyderabad,Right hand Bat,Legbreak,Bowler,
Anrich Nortje,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",Delhi Capitals,Right hand Bat,Right arm Fast,Bowler,"Anrich Nortje player profileWith an ability to combine high speed with late swing, Nortje is the ideal successor to his hero Dale Steyn in South Africa's pace attack. He set the 2018-19 Mzansi Super League ablaze, attacking the stumps at 150kph and taking eight wickets in three matches - including the dismissals of Hashim Amla, Temba Bavuma and Reeza Hendricks - at an average of 10.4. That earned him an ODI debut in March 2019 as well as call-ups to the IPL and the 50-over World Cup, although injury sidelined him from the latter two tournaments.
Later that year, he got the chance to make his Test debut in India, and his ability to bend his back on the docile tracks stood out even as South Africa slumped to one Test defeat after another. His first away five-for in Tests also came in the subcontinent, in Rawalpindi in early 2021. Back home against England in December 2019, Nortje proved himself the find of the summer, challenging England's batters with plenty of short stuff and finishing as the leading wicket-taker with 18 in four Tests even though South Africa lost 3-1. His ability to grind it out as a nightwatch - contributing to a match-winning partnership in Centurion and batting for over three hours in Port Elizabeth - prompted South Africa's bowling coach Charl Langeveldt to nickname him a ""proper Dutchman"". In the 2020 IPL, Nortje, playing for Delhi Capitals, clocked 156kph on the speed gun, and although Jos Buttler ramped that delivery for four, Nortje returned to bowl one of the balls of the tournament - a 155kph rocket that moved in off the seam and took out Buttler's middle stump. An improved legcutter added to his T20 variations, helping him take nine wickets at an economy of 5.3 in the 2021 T20 World Cup. Hip and back injuries shortened his 2022 IPL, but he remained a strike force for South Africa across formats, playing the summer Tests in England and the 2022 T20 World Cup in Australia, where he was the fifth-highest wicket-taker, with 11 dismissals from five games, again at an economy of 5.3, including 4 for 10 against Bangladesh.He was named the men's cricketer of the year at Cricket South Africa's awards in July 2023 - an honour he had won in 2021 as well - but disappointingly missed the 2023 ODI World Cup in India and the entire summer at home due to a stress fracture to his back.Nortje was schooled at Brandwag High in the small town of Uitenhage, north of Port Elizabeth and went on to complete a degree in financial planning at Nelson Mandela Metropolitan University, where he used varsity cricket to hone his skills. He enjoyed a strong start to his first-class franchise career, with 20 wickets in four matches in the 2016-17 season and a fifth-place finish on the first-class wicket charts in the 2017-18 summer. But the shortest format was where he got his big break.Anrich Nortje IPL factfile- Anrich Nortje was bought by Kolkata Knight Riders (KKR) at the IPL 2019 auction for his base price of INR 20 lakh but a shoulder injury ruled him out that season.- Nortje was released by KKR ahead of IPL 2020 and initially went unsold at the auction. He was then signed up by Delhi Capitals (DC) as a replacement player for Chris Woakes.- Nortje made an immediate impact with his pace, clocking speeds in excess of 155kph on more occasions than one. Nortje finished IPL 2021 with 22 wickets, the fourth highest that year.- Nortje didn't play the first half of IPL 2021, which was held in India, but had an excellent second half when the tournament resumed in the UAE, taking 12 wickets in eight games with an economy rate of 6.16.- Nortje was retained by DC ahead of the IPL 2022 mega auction. An injury restricted him to just six games in IPL 2022 where he picked up nine wickets. - Nortje didn't have the best of times in IPL 2023, managing just ten wickets in as many games and leaking runs at 9.10."
